Frame,Time,X,Y
821,10.933,34.5,8.8
822,10.946,33.7,8.8
823,10.96,33.6,8.9
824,10.973,34.4,8.8
825,10.986,34.1,8.8
826,11,33.7,8.9
827,11.013,33.1,8.9
828,11.026,34,8.9
829,11.04,33.1,8.9
830,11.053,33.2,8.9
831,11.066,33.5,8.9
832,11.08,33.8,8.8
833,11.093,33.8,8.8
834,11.106,33.8,8.8
835,11.12,32.7,9
836,11.133,32.9,8.9
837,11.146,33.3,8.9
838,11.16,33.2,8.9
839,11.173,34,8.9
840,11.186,34.8,8.7
841,11.2,34.4,8.9
842,11.213,33.2,9
843,11.226,33.7,9
844,11.24,34.2,8.8
845,11.253,34,8.9
846,11.266,34.3,8.9
847,11.28,34.5,8.8
848,11.293,33.7,9
849,11.306,33.8,8.9
850,11.32,34.6,8.9
851,11.333,34.1,9
852,11.346,34.2,9
853,11.36,34.5,8.9
854,11.373,34.2,8.9
855,11.386,33.5,9.1
856,11.4,34.3,9
857,11.413,34.2,9.1
858,11.426,34.6,8.9
859,11.44,34.8,9
860,11.453,35.1,8.9
861,11.466,35.2,8.8
862,11.48,35.9,8.8
863,11.493,35.4,8.9
864,11.506,35.6,8.9
865,11.52,35.6,8.8
866,11.533,35.5,8.9
867,11.546,36.2,8.8
868,11.56,35.8,8.8
869,11.573,35.3,8.9
870,11.586,35.2,8.9
871,11.6,35,8.9
872,11.613,34.9,8.9
873,11.626,34.1,9.1
874,11.64,34.4,9
875,11.653,34.9,8.9
